ResponseId,age_cat,gov,gender
R_3haUYifDpQTjKFD,2,Ben Arous,Male
R_egGKCwGvvDiDznr,2,Ariana,Male
R_2am2QTSZ9mSAiGN,3,Ben Arous,Male
R_3PoFOHSEfkIzGv4,2,Mannouba,Male
R_eeq3eOJXohIlPtT,4,Sousse,Male
R_TaNCBCVtoRpA10J,8,Tozeur,Male
R_erHRiDrpVtKiM5r,9,Mahdia,Male
R_POH4rx2oXzE7Glr,8,Tunis,Male
R_2gZv9MIEfKaBrLX,1,Ben Arous,Male
R_VJwa7KUfOgyn93X,11,Tataouine,Male
R_1r0y4kLUScYmH9s,6,Ben Arous,Female
R_1DwjfgWNzwQSSw1,7,Tunis,Male
R_1OE34yAAPj41OrA,4,Bizerte,Male
R_4GkgHBIbR7girQJ,6,Kairouan,Male
R_eP8chLNvjbkgw5H,6,Ben Arous,Male
R_23UiZQILepypn4U,13,Sousse,Male
R_Pv8JY5E7D1rKlMJ,8,Ben Arous,Male
R_ZgiGnkkzwKPm40N,11,Nabeul,Male
R_2fHCjHWl4Vvjk3X,11,Siliana,Male
R_1nT5HtJXsbNuV23,9,Tunis,Male
R_0x2B20h1GJ2uTS1,8,Ariana,Female
R_2fJLSDzmp6vZFNJ,6,Kebili,Male
R_2TBgAdF42ygropn,3,Tunis,Female
R_2zey3V9BLt7bwOB,10,Tunis,Male
R_3e4Q5w9D8D5WXYM,12,Tunis,Male
R_1DSxXQT48SmGmbf,3,Gafsa,Female
R_1KvhvLz4RCQo2DV,8,Mannouba,Male
R_1FKERkSqX9MZo6v,8,Sfax,Male
R_27W2r1yCuGyiwXp,9,Ben Arous,Male
R_2uNvPs1u2kUZiCQ,12,Tunis,Female
R_1OxgOjcyQ639vOR,9,Tunis,Male
R_72hEKWLOOAzj5EB,13,Sousse,Male
R_RfpFTipDPTADNOV,6,Tunis,Female
R_2ab1ki6ltzGBD7h,10,Tunis,Female
R_1GCaJBG1c87uo8x,14,Nabeul,Male
R_5ouyBxsQwLiutEd,4,Bizerte,Female
R_2QrLL485UEtgwSd,3,Tunis,Male
R_1DHWnHi6JoLqF7C,8,Ben Arous,Male
R_qz7JmDmVw1Y4JZ7,10,Sfax,Male
R_24tQXz35gq1Okwl,12,Gabès,Male
R_3LgSjRJ4v3udQ1M,14,Médenine,Male
R_2SCeD2byRMHQsor,10,Ariana,Female
R_123enhlv4eUHYCr,3,Ariana,Male
R_2wsmA5lYP4iJLUt,11,Médenine,Female
R_25SYc4qx9oNMryL,9,Ben Arous,Male
R_2g8IUOBDUqnNQ6l,6,Nabeul,Female
R_2UXwppghEw4a0Kn,10,Ariana,Male
R_afJmSk5QJe2kw49,9,Tunis,Male
R_1Eb2nJVplTkapjU,9,Tunis,Female
R_sNMmdRCB2SjQhuF,6,Sidi Bouzid,Female
R_2wHLFtddMy4hkef,11,Ben Arous,Male
R_22txoFfF3dLsEag,5,Gafsa,Male
R_1LvTjuKED9OdZlf,11,Zaghouan,Female
R_2Etq842SzFZrYs8,9,Sfax,Male
R_25FnhfA8CC2VipZ,12,Sfax,Male
R_3p5ALofElZomkZk,10,Bizerte,Female
R_e9usCUdSilZD9bX,10,Tunis,Male
R_26grByhcDY6nyNY,6,Tunis,Female
R_1KflVkWghCgwB2z,10,Tunis,Male
R_2VF1aVb6Q9GA0Lq,12,Nabeul,Male
R_2V1GnGJTE5Gj8LE,13,Ariana,Female
R_30oT1xdbVLZtQTb,11,Sousse,Male
R_3iPEwsBau60IRG1,11,Tunis,Male
R_3ktfGeQBXJTjLXs,9,Tunis,Female
R_2cd4dIb6EdqFUeH,9,Siliana,Male
R_YQRg5EikTCMohcl,2,Tunis,Male
R_1cT8kb0f8xMvBXa,7,Bizerte,Male
R_1GTyrtr4tvWEqCK,11,Sfax,Female
R_27vAfHulT4JYaoZ,2,Ben Arous,Female
R_1M6sXe69uVAmpY5,11,Sfax,Other:
R_Q4xpCJ9fiV8V6QV,10,Ben Arous,Male
R_2S1yok6C6AO3ljg,8,Ariana,Male
R_AL63iVXSQwA1dFD,6,Nabeul,Male
R_1QF9kMdD2eUUEJc,12,Ben Arous,Male
R_1Gv7lIGa2pcSjOS,6,Tunis,Male
R_VLpH9hEHbgJEvC1,10,Sousse,Male
R_D2zIudgLxyzguIN,10,Kairouan,Male
