gender,kais_direct,kais_rr,Duration (in seconds),StartDate,FL_63_DO_saied_sensitive,FL_63_DO_saied_nonsensitive,ResponseId,ExternalReference
Male,NA,Both statements are true OR neither is true.,1455,2023-07-14,1,NA,R_1OPKNyVL9VLZOpk,R_erHRiDrpVtKiM5r
Male,No,NA,538,2023-07-14,NA,1,R_5dK4GQeGXmRrrLX,R_4GkgHBIbR7girQJ
Female,NA,Both statements are true OR neither is true.,503,2023-07-14,1,NA,R_30v4yyh6jEcXydI,R_2TBgAdF42ygropn
Male,No,NA,1433,2023-07-14,NA,1,R_3iPU0Luau1zHOr8,R_2fHCjHWl4Vvjk3X
Male,NA,Both statements are true OR neither is true.,1080,2023-07-14,1,NA,R_32JWBqoRC9HeRYL,R_2fJLSDzmp6vZFNJ
Male,NA,Both statements are true OR neither is true.,1810,2023-07-14,1,NA,R_3iXdLfFP4AxiLib,R_1OxgOjcyQ639vOR
Female,Yes,NA,1407,2023-07-14,NA,1,R_26aoCPhGInQAk36,R_RfpFTipDPTADNOV
Female,NA,Both statements are true OR neither is true.,622,2023-07-14,1,NA,R_2ScZbt1ClNQml5e,R_2g8IUOBDUqnNQ6l
Female,No,NA,1197,2023-07-14,NA,1,R_O0UfR3vWzzyhwNH,R_1Eb2nJVplTkapjU
Male,Yes,NA,1482,2023-07-14,NA,1,R_BFAGqGy78YNd1MR,R_25SYc4qx9oNMryL
Male,NA,NA,1549,2023-07-14,1,NA,R_1nZy4GDJndSptXg,R_2VF1aVb6Q9GA0Lq
Male,NA,Both statements are true OR neither is true.,591,2023-07-15,1,NA,R_1K28pYfkac2ksKY,R_231fhy5rmFdZVIS
Male,NA,One of the two statements is true.,1183,2023-07-15,1,NA,R_33wpcj6MmAAselC,R_pzMoqcBGelcdqsp
Male,NA,NA,1016,2023-07-15,1,NA,R_3Lc2pYT1t8UqohE,R_2TXFYVVKGk8lNke
Male,NA,One of the two statements is true.,650,2023-07-15,1,NA,R_eCYe8nMgLeV2iUF,R_22txoFfF3dLsEag
Male,NA,One of the two statements is true.,1754,2023-07-15,1,NA,R_22ZtQk9M5LpFz1f,R_UJu37SB2yKkO9ot
Female,NA,Both statements are true OR neither is true.,783,2023-07-15,1,NA,R_5b4I2Zv3q9jS3W9,R_1QfTeLYSsH54wFz
Male,Yes,NA,969,2023-07-15,NA,1,R_3ee5ZI1GEvMOimA,R_1fdAAfCImA02qaN
Male,NA,One of the two statements is true.,1672,2023-07-15,1,NA,R_3EFofUSFenWrBUi,R_3GDrQ3tMNmOxEvq
Female,NA,Both statements are true OR neither is true.,1439,2023-07-15,1,NA,R_2wNaczIlZ4t3jVl,R_2V1GnGJTE5Gj8LE
Male,No,NA,2629,2023-07-16,NA,1,R_2TLUOQ7V1f1xqza,R_2uUQMnQjMKQscx2
Female,NA,Both statements are true OR neither is true.,482,2023-07-18,1,NA,R_27VRo6QIstamunE,R_3qR4vsQV9bFkrf3
Male,Yes,NA,711,2023-07-18,NA,1,R_77KpY5rTjBi5lPX,R_qWQQ3khnQ0rXyM1
Male,NA,Both statements are true OR neither is true.,2729,2023-07-18,1,NA,R_RXDinq93maPwK3v,R_25N5yboG0mril1s
Female,No,NA,1437,2023-07-18,NA,1,R_27jL1tdlyir3YUd,R_2fdEH5Ipzzw3bsN
Male,Yes,NA,803,2023-07-18,NA,1,R_2uR75wLb901S9TS,R_3GrXkxx8lZZ9dSi
Male,NA,Both statements are true OR neither is true.,605,2023-07-19,1,NA,R_22xkBcUTnJFcN5Y,R_RgnjGgxo6U6sUUh
Female,No,NA,296,2023-07-19,NA,1,R_aguigCgHtGC9gf7,R_2EzAcIcOof7zXxf
Female,No,NA,516,2023-07-19,NA,1,R_3I5EwzpT1BiqVuQ,R_1ooH3R56jhurWC8
Male,Yes,NA,695,2023-07-19,NA,1,R_qXEl8yiwD6DOL7P,R_2Bmwxi5xdzct6eg
Female,No,NA,1423,2023-07-19,NA,1,R_3mghFBXOAMYUXVi,R_2z6koW5S5dUZfmB
Male,Yes,NA,842,2023-07-19,NA,1,R_2WH9UYL4Lt9ZWer,R_24u8t0QPuU6uKmL
Male,NA,Both statements are true OR neither is true.,1176,2023-07-19,1,NA,R_RlZ1wmNBru7McAF,R_2EB0xameC7Kkpoa
Male,NA,Both statements are true OR neither is true.,2173,2023-07-19,1,NA,R_2YFYisD1NZMusw1,R_SUFHGSdY07yafGF
Female,No,NA,747,2023-07-19,NA,1,R_3CK4MLRZUjtWtem,R_2S65qrcJOGJyrQD
Male,NA,Both statements are true OR neither is true.,695,2023-07-19,1,NA,R_3PFRkwwDDAESQEM,R_1gtMVmwdaOo3EF5
Female,Yes,NA,737,2023-07-19,NA,1,R_UuslD5VV8Yxa3fj,R_3h4JuRabggEDbap
Female,Yes,NA,955,2023-07-19,NA,1,R_3nBqo4NKAeNXXsZ,R_2B5uQWvvaxZxVUj
Female,Yes,NA,1701,2023-07-19,NA,1,R_2bVs72BZDANNlrh,R_ezgYJSiLZKmnbI5
Male,NA,One of the two statements is true.,797,2023-07-19,1,NA,R_2YkXiCstBz4hIWh,R_YPJUoC6koOpsoQp
Male,No,NA,30257,2023-07-19,NA,1,R_2zSfFm6IzpsC5yz,R_31uzVmpeklZKA94
