Computation Date,IP max,IP cum,PS max,PS cum
2025-02-19,1/72,1/72,-0.51,-0.51
2025-02-18,1/35,1/35,-0.2,-0.2
2025-02-17,1/41,1/41,-0.27,-0.27
2025-02-15,1/48,1/48,-0.34,-0.34
2025-02-14,1/47,1/47,-0.33,-0.33
2025-02-13,1/49,1/49,-0.34,-0.34
2025-02-12,1/49,1/49,-0.34,-0.34
2025-02-10,1/50,1/50,-0.35,-0.35
2025-02-09,1/49,1/49,-0.34,-0.34
2025-02-08,1/44,1/44,-0.29,-0.29
2025-02-07,1/44,1/44,-0.29,-0.29
2025-02-06,1/44,1/44,-0.29,-0.29
2025-02-05,1/54,1/54,-0.38,-0.38
2025-02-04,1/62,1/62,-0.43,-0.43
2025-02-03,1/65,1/65,-0.45,-0.45
2025-02-02,1/70,1/70,-0.48,-0.48
2025-02-01,1/61,1/61,-0.42,-0.42
2025-01-31,1/63,1/63,-0.43,-0.43
2025-01-30,1/78,1/78,-0.52,-0.52
2025-01-29,1/76,1/76,-0.51,-0.51
2025-01-28,1/81,1/81,-0.54,-0.54
2025-01-27,1/88,1/88,-0.58,-0.58
2025-01-22,1/101,1/101,-0.57,-0.57
2025-01-21,1/101,1/101,-0.56,-0.56
2025-01-20,1/327,1/327,-1.07,-1.07
2025-01-18,1/1841,1/1090,-1.81,-1.58
2025-01-17,1/1390,1/1021,-1.68,-1.55
2025-01-12,1/1233,1/965,-1.63,-1.53
2025-01-11,1/1230,1/970,-1.63,-1.53
2025-01-10,1/1239,1/974,-1.63,-1.53
2025-01-09,1/1267,1/962,-1.65,-1.53
2025-01-08,1/1275,1/960,-1.65,-1.53
2025-01-07,1/1272,1/961,-1.64,-1.52
2025-01-06,1/1366,1/1035,-1.67,-1.55
2025-01-04,1/1369,1/1041,-1.67,-1.55
2025-01-03,1/1658,1/837,-1.75,-1.45
2025-01-02,1/781,1/644,-1.42,-1.34
2025-01-01,1/787,1/650,-1.42,-1.34
2024-12-31,1/800,1/664,-1.42,-1.34
2024-12-30,1/826,1/723,-1.44,-1.38
2024-12-29,1/934,1/822,-1.5,-1.45
2024-12-27,1/1862,1/1621,-1.78,-1.72
