school_code,candidate_code,lw_code,promotion_to_full_professor,candidate_discipline_cip_category_as_numeric,candidate_discipline_stem_status_sbs_included,candidate_urm_num,candidate_gender_num,gender_by_urm_candidate,woman_urm_candidate_num,h_index_at_pt_standardized,number_of_external_grantsawarded_as_the_pi,years_in_present_rank,department_negative_vote_percentage,college_committee_negative_vote_percentage,department_unanimous_vote_abstentions_excluded,college_committee_unanimous_vote_abstentions_excluded,provost_vote,scholarship,tone,clout,authentic,analytic
1,100002,100002a,1,AB,0,0,0,Man non-URM,0,,0,6,0,0,1,1,1,0,56.45,69.2,9.5,95.28
1,100002,100002b,1,AB,0,0,0,Man non-URM,0,,,6,0,0,1,1,1,0,53.52,33.63,31.43,87.52
1,100002,100002c,1,AB,0,0,0,Man non-URM,0,,,6,0,0,1,1,1,0.44,90.29,46.99,20.58,85.96
1,100003,100003a,1,P,1,0,0,Man non-URM,0,,6,4,0,0,1,1,1,0.17,64.15,39.57,33.09,86.61
1,100003,100003b,1,P,1,0,0,Man non-URM,0,,6,4,0,0,1,1,1,0,69.7,55.05,17.14,90.36
1,100003,100003c,1,P,1,0,0,Man non-URM,0,,6,4,0,0,1,1,1,0.32,64.5,50.58,14.79,76.43
1,100003,100003d,1,P,1,0,0,Man non-URM,0,,6,4,0,0,1,1,1,0.05,44.82,36.84,16.41,85.63
1,100004,100004a,1,T,1,0,0,Man non-URM,0,1.707272646,46,11,0,0,1,1,1,0,59.68,69.35,3.09,92.28
1,100004,100004b,1,T,1,0,0,Man non-URM,0,1.707272646,46,11,0,0,1,1,1,0,59.31,48.77,12.86,92.71
1,100004,100004c,1,T,1,0,0,Man non-URM,0,1.707272646,46,11,0,0,1,1,1,0,40.7,46.81,11.17,84.05
1,100004,100004d,1,T,1,0,0,Man non-URM,0,1.707272646,46,11,0,0,1,1,1,0.14,78.32,80.55,1.14,78
1,100004,100004e,1,T,1,0,0,Man non-URM,0,1.707272646,46,11,0,0,1,1,1,0,70.77,44.19,13.99,90.81
1,100004,100004f,1,T,1,0,0,Man non-URM,0,1.707272646,46,11,0,0,1,1,1,0.31,74.01,30.47,22.34,74.24
1,100005,100005a,1,D,0,0,0,Man non-URM,0,-0.237633425,5,4,0,0,1,1,1,0.17,11.02,35.09,21.45,88.47
1,100005,100005b,1,D,0,0,0,Man non-URM,0,-0.237633425,5,4,0,0,1,1,1,0,26.74,53.88,6.84,91.23
1,100005,100005c,1,D,0,0,0,Man non-URM,0,-0.237633425,5,4,0,0,1,1,1,0.04,36.61,38.53,20.89,88.84
1,100005,100005d,1,D,0,0,0,Man non-URM,0,-0.237633425,5,4,0,0,1,1,1,0,39.12,46.47,9.65,79.74
1,100005,100005e,1,D,0,0,0,Man non-URM,0,-0.237633425,5,4,0,0,1,1,1,0.11,44.19,57.79,15.26,91.29
1,100006,100006a,0,E,1,0,0,Man non-URM,0,-0.043142818,7,5,0,0,1,1,1,0.47,51.9,39.14,22.2,68.75
1,100006,100006b,0,E,1,0,0,Man non-URM,0,-0.043142818,7,5,0,0,1,1,1,0.24,78.34,66.38,2.77,86.13
1,100006,100006c,0,E,1,0,0,Man non-URM,0,-0.043142818,7,5,0,0,1,1,1,0.56,52.07,56.85,6.9,87.32
1,100006,100006d,0,E,1,0,0,Man non-URM,0,-0.043142818,7,5,0,0,1,1,1,0.16,55.81,53.7,8.18,89.97
1,100006,100006e,0,E,1,0,0,Man non-URM,0,-0.043142818,7,5,0,0,1,1,1,0.34,61.33,47.47,23.24,65.97
1,100006,100006f,0,E,1,0,0,Man non-URM,0,-0.043142818,7,5,0,0,1,1,1,0,33.69,41.49,21.17,91.16
1,100007,100007a,0,F,0,0,0,Man non-URM,0,-0.626614639,1,3,,0,,1,1,0,89.28,79.31,2.31,84.4
1,100007,100007b,0,F,0,0,0,Man non-URM,0,-0.626614639,1,3,,0,,1,1,1.06,60.92,67.61,2.76,91.62
1,100007,100007c,0,F,0,0,0,Man non-URM,0,-0.626614639,1,3,,0,,1,1,0.18,62.16,59.08,8.29,89.27
